English Name,Latin Name,Refl_file,Trans_file,Plant Type,N,C_a,C_b,C_ab,C_car,C_anth,EWT,LMA,SPAD,T660,T720,T840,T940,T1300
Sycamore maple,Acer pseudoplatanus L.,an03r0001.txt,an03t0001.txt,2,1.31,9.53,3.01,12.54,4.33,-999,0.0122,0.0055,18.6,0.0821,0.2331,0.342,0.3401,0.2585
Sycamore maple,Acer pseudoplatanus L.,an03r0002.txt,an03t0002.txt,2,1.43,9.01,3.41,12.41,3.65,-999,0.012,0.0053,19.2,0.0905,0.2476,0.3524,0.3479,0.2678
Sycamore maple,Acer pseudoplatanus L.,an03r0003.txt,an03t0003.txt,2,1.55,19.36,6.45,25.81,6.5,-999,0.0106,0.0045,30.8,0.0516,0.2745,0.4209,0.4238,0.3362
Sycamore maple,Acer pseudoplatanus L.,an03r0004.txt,an03t0004.txt,2,1.65,18.66,5.47,24.13,6.9,-999,0.0109,0.0043,30.5,0.0448,0.222,0.369,0.3644,0.2772
Sycamore maple,Acer pseudoplatanus L.,an03r0005.txt,an03t0005.txt,2,1.44,12.16,4.96,17.12,4.91,-999,0.0104,0.004,21.9,0.0709,0.2415,0.335,0.3407,0.2586
Sycamore maple,Acer pseudoplatanus L.,an03r0006.txt,an03t0006.txt,2,1.53,9.21,4.34,13.54,3.85,-999,0.0102,0.004,20.8,0.0825,0.258,0.346,0.3775,0.2824
Sycamore maple,Acer pseudoplatanus L.,an03r0007.txt,an03t0007.txt,2,1.49,16.24,5.57,21.8,5.2,-999,0.0094,0.0039,25.4,0.0608,0.2461,0.3935,0.3877,0.2934
Sycamore maple,Acer pseudoplatanus L.,an03r0008.txt,an03t0008.txt,2,1.38,15.82,5.08,20.9,5.41,-999,0.0099,0.0038,25.3,0.0629,0.2494,0.3833,0.3925,0.3003
Sycamore maple,Acer pseudoplatanus L.,an03r0009.txt,an03t0009.txt,2,1.47,15.97,5.9,21.87,5.68,-999,0.0097,0.0042,25.9,0.0607,0.2455,0.3597,0.3759,0.293
Sycamore maple,Acer pseudoplatanus L.,an03r0010.txt,an03t0010.txt,2,1.42,15.18,4.99,20.16,5.55,-999,0.0075,0.0043,25.6,0.0577,0.2549,0.3527,0.3785,0.2906
Sycamore maple,Acer pseudoplatanus L.,an03r0011.txt,an03t0011.txt,2,1.48,17.12,5.52,22.64,5.12,-999,0.0083,0.0034,28.1,0.0496,0.2587,0.3618,0.3938,0.3075
Sycamore maple,Acer pseudoplatanus L.,an03r0012.txt,an03t0012.txt,2,1.42,15.32,4.9,20.22,4.95,-999,0.0087,0.0037,27.9,0.0518,0.2361,0.3664,0.3673,0.2809
Sycamore maple,Acer pseudoplatanus L.,an03r0013.txt,an03t0013.txt,2,1.53,15.74,5.54,21.28,5.6,-999,0.012,0.0036,29,0.0497,0.2735,0.375,0.4068,0.3134
Sycamore maple,Acer pseudoplatanus L.,an03r0014.txt,an03t0014.txt,2,1.49,14.18,5.44,19.61,5.56,-999,0.0116,0.0035,25.8,0.0573,0.2704,0.3688,0.3922,0.3099
Sycamore maple,Acer pseudoplatanus L.,an03r0015.txt,an03t0015.txt,2,1.59,22.9,7.33,30.23,8.49,-999,0.0121,0.0041,35,0.0373,0.2166,0.3637,0.3654,0.2786
Sycamore maple,Acer pseudoplatanus L.,an03r0016.txt,an03t0016.txt,2,1.55,23.66,7.78,31.44,8.44,-999,0.0114,0.0039,34.9,0.0352,0.2253,0.3926,0.383,0.2929
Sycamore maple,Acer pseudoplatanus L.,an03r0017.txt,an03t0017.txt,2,1.43,12.05,4.38,16.43,4.51,-999,0.0113,0.0033,21.6,0.0629,0.2596,0.3554,0.3629,0.285
Sycamore maple,Acer pseudoplatanus L.,an03r0018.txt,an03t0018.txt,2,1.49,9.88,3.36,13.23,4.4,-999,0.0115,0.0036,21.7,0.0665,0.2597,0.327,0.3573,0.2673
Sycamore maple,Acer pseudoplatanus L.,an03r0019.txt,an03t0019.txt,2,1.38,27.66,8.12,35.78,9.32,-999,0.0109,0.0043,37.5,0.0322,0.22,0.3553,0.3706,0.2883
Sycamore maple,Acer pseudoplatanus L.,an03r0020.txt,an03t0020.txt,2,1.52,24.74,7.77,32.51,9.11,-999,0.0111,0.0042,32.8,0.0362,0.2321,0.3631,0.3771,0.2892
Sycamore maple,Acer pseudoplatanus L.,an03r0021.txt,an03t0021.txt,2,1.56,9.34,3.61,12.95,3.59,-999,0.0103,0.0045,19,0.0912,0.2395,0.3293,0.3363,0.2593
Sycamore maple,Acer pseudoplatanus L.,an03r0022.txt,an03t0022.txt,2,1.44,10.24,3.86,14.11,3.75,-999,0.0112,0.0046,18,0.0931,0.2561,0.3724,0.3634,0.2748
Sycamore maple,Acer pseudoplatanus L.,an03r0023.txt,an03t0023.txt,2,1.62,21.1,6.79,27.88,6.98,-999,0.0118,0.0053,33,0.0364,0.2285,0.3713,0.3791,0.2817
Sycamore maple,Acer pseudoplatanus L.,an03r0024.txt,an03t0024.txt,2,1.6,22.01,7.06,29.07,7.93,-999,0.0111,0.0052,33.7,0.0342,0.2039,0.3174,0.3397,0.2536
Sycamore maple,Acer pseudoplatanus L.,an03r0025.txt,an03t0025.txt,2,1.57,10.75,3.8,14.55,4.98,-999,0.0131,0.005,20.7,0.0739,0.2554,0.3558,0.3565,0.2646
Sycamore maple,Acer pseudoplatanus L.,an03r0026.txt,an03t0026.txt,2,1.28,11.59,4.91,16.5,5.29,-999,0.0118,0.0094,22.6,0.0791,0.2523,0.3538,0.3619,0.2794
Sycamore maple,Acer pseudoplatanus L.,an03r0027.txt,an03t0027.txt,2,1.51,18.76,7.23,26,5.97,-999,0.0103,0.0041,27.4,0.0485,0.2245,0.3688,0.3679,0.2766
Sycamore maple,Acer pseudoplatanus L.,an03r0028.txt,an03t0028.txt,2,1.69,17.03,6.23,23.26,5.89,-999,0.0102,0.0042,28,0.0517,0.2527,0.3906,0.383,0.3036
Sycamore maple,Acer pseudoplatanus L.,an03r0029.txt,an03t0029.txt,2,1.48,11.36,4.56,15.92,4.69,-999,0.0088,0.0036,22,0.0708,0.2579,0.3581,0.3733,0.2882
Sycamore maple,Acer pseudoplatanus L.,an03r0030.txt,an03t0030.txt,2,1.47,10.52,4.18,14.7,4.32,-999,0.0087,0.0039,21.2,0.0748,0.2583,0.3681,0.381,0.2927
Sycamore maple,Acer pseudoplatanus L.,an03r0031.txt,an03t0031.txt,2,1.6,20.69,7.21,27.9,7.63,-999,0.0096,0.004,33.4,0.0374,0.2391,0.3811,0.3907,0.2959
Sycamore maple,Acer pseudoplatanus L.,an03r0032.txt,an03t0032.txt,2,1.58,22.53,8.22,30.75,8.7,-999,0.0095,0.0041,34.3,0.0329,0.2232,0.3669,0.3838,0.2899
Sycamore maple,Acer pseudoplatanus L.,an03r0033.txt,an03t0033.txt,2,1.69,25.16,9.34,34.5,8.09,-999,0.0111,0.0047,35.4,0.0266,0.1794,0.3333,0.325,0.2415
Sycamore maple,Acer pseudoplatanus L.,an03r0034.txt,an03t0034.txt,2,1.46,7.86,2.68,10.54,3.78,-999,0.0114,0.0051,16.4,0.111,0.2647,0.3865,0.3769,0.2776
Sycamore maple,Acer pseudoplatanus L.,an03r0035.txt,an03t0035.txt,2,1.56,18.05,5.44,23.49,6.75,-999,0.0097,0.0042,28.9,0.0485,0.2685,0.3901,0.4066,0.319
Sycamore maple,Acer pseudoplatanus L.,an03r0036.txt,an03t0036.txt,2,1.39,24.64,7.67,32.3,7.28,-999,0.0064,0.0019,30.1,0.0436,0.23,0.3879,0.3896,0.3005
Sycamore maple,Acer pseudoplatanus L.,an03r0037.txt,an03t0037.txt,2,1.41,21.84,6.58,28.42,6.42,-999,0.0065,0.0018,31.2,0.0444,0.2131,0.3703,0.3654,0.2832
Sycamore maple,Acer pseudoplatanus L.,an03r0038.txt,an03t0038.txt,2,1.37,24.84,8.38,33.21,7.58,-999,0.0071,0.002,34.9,0.0343,0.2433,0.41,0.4098,0.318
Sycamore maple,Acer pseudoplatanus L.,an03r0039.txt,an03t0039.txt,2,1.25,17.8,6.33,24.13,6.08,-999,0.0067,0.0018,27.3,0.0628,0.2971,0.4084,0.4363,0.3363
Sycamore maple,Acer pseudoplatanus L.,an03r0040.txt,an03t0040.txt,2,1.22,17.82,6.24,24.06,5.93,-999,0.0067,0.0018,25.9,0.0702,0.2838,0.4545,0.4363,0.3339
Sycamore maple,Acer pseudoplatanus L.,an03r0041.txt,an03t0041.txt,2,1.54,33,11.58,44.58,10.22,-999,0.0083,0.0023,40.7,0.0205,0.1975,0.3564,0.3688,0.2743
Sycamore maple,Acer pseudoplatanus L.,an03r0042.txt,an03t0042.txt,2,1.49,32.67,11.79,44.46,9.94,-999,0.0084,0.0023,41.5,0.0248,0.2005,0.3681,0.3645,0.283
Sycamore maple,Acer pseudoplatanus L.,an03r0043.txt,an03t0043.txt,2,1.33,22.33,8.18,30.51,8.42,-999,0.0065,0.0018,31.3,0.041,0.2682,0.41,0.4376,0.3345
Sycamore maple,Acer pseudoplatanus L.,an03r0044.txt,an03t0044.txt,2,1.29,23.1,8.54,31.63,8.19,-999,0.0065,0.0019,32.6,0.0382,0.2535,0.3806,0.4079,0.3144
Sycamore maple,Acer pseudoplatanus L.,an03r0045.txt,an03t0045.txt,2,1.35,22.3,8.37,30.67,7.34,-999,0.0086,0.0021,31.8,0.04,0.2457,0.3731,0.3787,0.292
Sycamore maple,Acer pseudoplatanus L.,an03r0046.txt,an03t0046.txt,2,1.36,21.89,8.79,30.68,6.97,-999,0.0081,0.0019,32.8,0.0454,0.2624,0.3975,0.4166,0.3155
Sycamore maple,Acer pseudoplatanus L.,an03r0047.txt,an03t0047.txt,2,1.35,31.81,11.17,42.98,10.14,-999,0.0074,0.002,38.8,0.0292,0.2558,0.4186,0.4357,0.3417
