speciescode,scientific_name,family,growth_form,leaf_type,myco_asso,phenology,ps_type,nitrogen_fixer,shade_tolerance,shade_tolerance_numeric,shade_reference,myco_reference,comments,try_species_ID
ABBA,Abies balsamea (L.) Mill.,Pinaceae,tree,needle,ECM,evergreen,C3,FALSE,Tolerant,5.01,"TRY Refs 1, 38",,,
ABCO,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,Pinaceae,tree,needle,ECM,evergreen,C3,FALSE,Tolerant,4.33,"TRY Refs 1, 38",,,
ABME,Abronia mellifera Douglas ex Hook.,Nyctaginaceae,herb,broad,AM?,deciduous,,FALSE,,,,,,
ACMA,Acacia macracantha Humb. & Bonpl. ex Willd.,Fabaceae,shrub,broad,AM,deciduous,C3,TRUE,,,,,,
ACSA,Acacia saligna (Labill.) Wendl. f.,Fabaceae,tree,broad,,evergreen,C3,FALSE,Intermediate,,http://shop.moonvalleynurseries.com/Acacia-Saligna-p/665.htm,,,585
ACMA3,Acer macrophyllum Pursh,Aceraceae,tree,broad,AM,deciduous,C3,FALSE,Tolerant,4.14,"TRY Refs 1, 38",,,
ACNE2,Acer negundo L.,Aceraceae,tree,broad,AM,deciduous,C3,FALSE,Intermediate,3.47,"TRY Refs 1, 38",,,
ACPE,Acer pensylvanicum L.,Aceraceae,tree,broad,AM,deciduous,C3,FALSE,Intermediate,3.56,"TRY Refs 1, 38",,,
ACPL,Acer platanoides L.,Aceraceae,tree,broad,AM,deciduous,C3,FALSE,Tolerant,4.2,"TRY Refs 1, 38",,,
ACPS,Acer pseudoplatanus L.,Aceraceae,tree,broad,AM,deciduous,C3,FALSE,Tolerant,3.73,"TRY Refs 1, 38",,,
ACRU,Acer rubrum L.,Aceraceae,tree,broad,AM,deciduous,C3,FALSE,Intermediate,3.44,"TRY Refs 1, 38",,,
ACSA2,Acer saccharinum L.,Aceraceae,tree,broad,AM,deciduous,C3,FALSE,Intermediate,3.6,"TRY Refs 1, 38",,,
