RawSpecies,ScientificName,SpeciesCode,Database_ID,Project,old_scientific,SpeciesScientific
UNKN1,NA,NA,NA,NASA_FFT,NA,NA
ABBA,"Abies balsamea (L.) Mill.",ABBA,USDA_Plants,NASA_FFT,NA,NA
ACNE,"Acer negundo L.",ACNE2,USDA_Plants,NASA_FFT,NA,NA
ACPL,"Acer platanoides L.",ACPL,USDA_Plants,NASA_FFT,NA,NA
ACRU,"Acer rubrum L.",ACRU,USDA_Plants,NASA_FFT,NA,NA
ACSN,"Acer saccharinum L.",ACSA2,USDA_Plants,NASA_FFT,NA,NA
ACSM,"Acer saccharum Marsh.",ACSA3,USDA_Plants,NASA_FFT,NA,NA
ACSP,"Acer spicatum Lam.",ACSP2,USDA_Plants,NASA_FFT,NA,NA
ALIN,"Alnus incana (L.) Moench",ALIN2,USDA_Plants,NASA_FFT,NA,NA
ANGE,"Andropogon gerardii Vitman",ANGE,USDA_Plants,NASA_FFT,NA,NA
BEAL,"Betula alleghaniensis Britton",BEAL2,USDA_Plants,NASA_FFT,NA,NA
BEGL,"Betula glandulosa Michx.",BEGL,USDA_Plants,NASA_FFT,NA,NA
BELE,"Betula lenta L.",BELE,USDA_Plants,NASA_FFT,NA,NA
BEPA,"Betula papyrifera Marsh.",BEPA,USDA_Plants,NASA_FFT,NA,NA
CAREX,"Carex L.",CAREX,USDA_Plants,NASA_FFT,NA,NA
CAAL,"Carya alba (L.) Nutt.",CATO6,USDA_Plants,NASA_FFT,NA,NA
CAOV,"Carya ovata (Mill.) K. Koch",CAOV2,USDA_Plants,NASA_FFT,NA,NA
CEOC,"Celtis occidentalis L.",CEOC,USDA_Plants,NASA_FFT,NA,NA
COFL,"Cornus florida L.",COFL2,USDA_Plants,NASA_FFT,NA,NA
COAM,"Corylus americana Walter",COAM3,USDA_Plants,NASA_FFT,NA,NA
FAGR,"Fagus grandifolia Ehrh.",FAGR,USDA_Plants,NASA_FFT,NA,NA
FRAM,"Fraxinus americana L.",FRAM2,USDA_Plants,NASA_FFT,NA,NA
FRNI,"Fraxinus nigra Marsh.",FRNI,USDA_Plants,NASA_FFT,NA,NA
FRPE,"Fraxinus pennsylvanica Marsh.",FRPE,USDA_Plants,NASA_FFT,NA,NA
JUNI,"Juglans nigra L.",JUNI,USDA_Plants,NASA_FFT,NA,NA
JUVI,"Juniperus virginiana L.",JUVI,USDA_Plants,NASA_FFT,NA,NA
LALA,"Larix laricina (Du Roi) K. Koch",LALA,USDA_Plants,NASA_FFT,NA,NA
LEGR,"Ledum groenlandicum Oeder",LEGR,USDA_Plants,NASA_FFT,NA,NA
LITU,"Liriodendron tulipifera L.",LITU,USDA_Plants,NASA_FFT,NA,NA
MAAC,"Magnolia acuminata (L.) L.",MAAC,USDA_Plants,NASA_FFT,NA,NA
NYSY,"Nyssa sylvatica Marsh.",NYSY,USDA_Plants,NASA_FFT,NA,NA
OSVI,"Ostrya virginiana (Mill.) K. Koch",OSVI,USDA_Plants,NASA_FFT,NA,NA
PIMA,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,USDA_Plants,NASA_FFT,NA,NA
PIRU,"Picea rubens Sarg.",PIRU,USDA_Plants,NASA_FFT,NA,NA
PIBA,"Pinus banksiana Lamb.",PIBA2,USDA_Plants,NASA_FFT,NA,NA
PIPU,"Pinus pungens Lamb.",PIPU5,USDA_Plants,NASA_FFT,NA,NA
PIRE,"Pinus resinosa Aiton",PIRE,USDA_Plants,NASA_FFT,NA,NA
PIST,"Pinus strobus L.",PIST,USDA_Plants,NASA_FFT,NA,NA
PISY,"Pinus sylvestris L.",PISY,USDA_Plants,NASA_FFT,NA,NA
PIVI,"Pinus virginiana Mill.",PIVI2,USDA_Plants,NASA_FFT,NA,NA
PODE,"Populus deltoides Bartram ex Marsh.",PODE3,USDA_Plants,NASA_FFT,NA,NA
POGR,"Populus grandidentata Michx.",POGR4,USDA_Plants,NASA_FFT,NA,NA
POTR,"Populus tremuloides Michx.",POTR5,USDA_Plants,NASA_FFT,NA,NA
PRUNUS,"Prunus L.",PRUNU,USDA_Plants,NASA_FFT,NA,NA
PRPE,"Prunus pensylvanica L. f.",PRPE2,USDA_Plants,NASA_FFT,NA,NA
PRSE,"Prunus serotina Ehrh.",PRSE2,USDA_Plants,NASA_FFT,NA,NA
QUAL,"Quercus alba L.",QUAL,USDA_Plants,NASA_FFT,NA,NA
QUEL,"Quercus ellipsoidalis E.J. Hill",QUEL,USDA_Plants,NASA_FFT,NA,NA
QUMA,"Quercus macrocarpa Michx.",QUMA2,USDA_Plants,NASA_FFT,NA,NA
QUPR,"Quercus prinus L.",QUMO4,USDA_Plants,NASA_FFT,NA,NA
QURU,"Quercus rubra L.",QURU,USDA_Plants,NASA_FFT,NA,NA
RHCA,"Rhamnus cathartica L.",RHCA3,USDA_Plants,NASA_FFT,NA,NA
ROPS,"Robinia pseudoacacia L.",ROPS,USDA_Plants,NASA_FFT,NA,NA
SAAL,"Sassafras albidum (Nutt.) Nees",SAAL5,USDA_Plants,NASA_FFT,NA,NA
THOC,"Thuja occidentalis L.",THOC2,USDA_Plants,NASA_FFT,NA,NA
TIAM,"Tilia americana L.",TIAM,USDA_Plants,NASA_FFT,NA,NA
TSCA,"Tsuga canadensis (L.) Carrière",TSCA,USDA_Plants,NASA_FFT,NA,NA
TYLA,"Typha latifolia L.",TYLA,USDA_Plants,NASA_FFT,NA,NA
ULAM,"Ulmus americana L.",ULAM,USDA_Plants,NASA_FFT,NA,NA
LONICERA,"Lonicera L.",LONIC,USDA_Plants,NASA_FFT,NA,NA
RHMA,"Rhexia mariana L.",RHMA,USDA_Plants,NASA_FFT,NA,NA
HAVI,"Hamamelis virginiana L.",HAVI4,USDA_Plants,NASA_FFT,NA,NA
KALA,"Kalmia latifolia L.",KALA,USDA_Plants,NASA_FFT,NA,NA
SPPE,"Spartina pectinata Bosc ex Link",SPPE,USDA_Plants,NASA_FFT,NA,NA
SALIX,"Salix L.",SALIX,USDA_Plants,NASA_FFT,NA,NA
PHAR,"Phalaris arundinacea L.",PHAR3,USDA_Plants,NASA_FFT,NA,NA
NA,NA,NA,NA,ACCP,NA,NA
lichen,NA,NA,NA,ACCP,NA,NA
"Abies balsamea","Abies balsamea (L.) Mill.",ABBA,USDA_Plants,ACCP,NA,NA
"Acer pensylvanicum","Acer pensylvanicum L.",ACPE,USDA_Plants,ACCP,NA,NA
"Acer rubrum","Acer rubrum L.",ACRU,USDA_Plants,ACCP,NA,NA
"Acer saccharum","Acer saccharum Marsh.",ACSA3,USDA_Plants,ACCP,NA,NA
"Aesculus californica","Aesculus californica (Spach) Nutt.",AECA,USDA_Plants,ACCP,NA,NA
"Arbutus menziesii","Arbutus menziesii Pursh",ARME,USDA_Plants,ACCP,NA,NA
"Betula papyrifera","Betula papyrifera Marsh.",BEPA,USDA_Plants,ACCP,NA,NA
"Dirca occidentalis","Dirca occidentalis A. Gray",DIOC3,USDA_Plants,ACCP,NA,NA
"Eriodictyon californicum","Eriodictyon californicum (Hook. & Arn.) Torr.",ERCA6,USDA_Plants,ACCP,NA,NA
"Fagus grandifolia","Fagus grandifolia Ehrh.",FAGR,USDA_Plants,ACCP,NA,NA
"Fraxinus americana","Fraxinus americana L.",FRAM2,USDA_Plants,ACCP,NA,NA
"Heteromeles arbutifolia","Heteromeles arbutifolia (Lindl.) M. Roem.",HEAR5,USDA_Plants,ACCP,NA,NA
"Larix laricina","Larix laricina (Du Roi) K. Koch",LALA,USDA_Plants,ACCP,NA,NA
"Ludwigia pacifica","Ludwigia L.",LUDWI,USDA_Plants,ACCP,NA,NA
"Picea abies","Picea abies (L.) Karst.",PIAB,USDA_Plants,ACCP,NA,NA
"Picea glauca","Picea glauca (Moench) Voss",PIGL,USDA_Plants,ACCP,NA,NA
"Picea mariana","Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,USDA_Plants,ACCP,NA,NA
"Picea rubens","Picea rubens Sarg.",PIRU,USDA_Plants,ACCP,NA,NA
"Pinus resinosa","Pinus resinosa Aiton",PIRE,USDA_Plants,ACCP,NA,NA
"Pinus strobus","Pinus strobus L.",PIST,USDA_Plants,ACCP,NA,NA
"Populus grandidentata","Populus grandidentata Michx.",POGR4,USDA_Plants,ACCP,NA,NA
"Populus tremuloides","Populus tremuloides Michx.",POTR5,USDA_Plants,ACCP,NA,NA
