speciesdatacode,speciescode,scientific_name,Database_ID
ARFU2,ARFU2,Arctophila fulva (Trin.) Andersson,USDA_Plants
ARLA2,ARLA2,Arctagrostis latifolia (R.Br.) Griseb.,USDA_Plants
CAAQ,CAAQ,Carex aquatilis Wahlenb.,USDA_Plants
DUFI,DUFI,Dupontia fisheri R.Br.,USDA_Plants
ERAN6,ERAN6,Eriophorum angustifolium Honck.,USDA_Plants
PEFR5,PEFR5,Petasites frigidus (L.) Fr.,USDA_Plants
SAPU15,SAPU15,Salix pulchra Cham.,USDA_Plants
SALPUL,SAPU15,Salix pulchra Cham.,USDA_Plants
SALRIC,SARI4,Salix richardsonii Hook.,USDA_Plants
VAVI,VAVI,Vaccinium vitis-idaea L.,USDA_Plants
SARO2,SARO2,Salix rotundifolia Trautv.,USDA_Plants
POAR2,POAR2,Poa arctica R. Br.,USDA_Plants
LUAR9,LUAR9,Luzula arctica Blytt,USDA_Plants
SAPU6,SANEN,Saxifraga punctata L.,USDA_Plants
POHY4,PONA6,Potentilla hyparctica Malte,USDA_Plants
ALNFRU,ALVIS,Alnus alnobetula subsp. fruticosa (Rupr.) Raus,USDA_Plants
BETGLA,BENAE,Betula nana L. subsp. exilis,USDA_Plants
SALGLA,SAGL,Salix glauca var. acutifolia (Hook.) C.K.Schneid.,USDA_Plants
