speciesdatacode,speciescode,scientific_name,Database_ID
CASTEL,CAEL5,Castilla elastica Sessé,USDA_Plants
LUEHSE,kew-2496835,Luehea seemannii Triana & Planch,ThePlantList
ANACEX,kew-2635897,Anacardium excelsum (Bertero ex Kunth) Skeels,ThePlantList
CORDAL,COAL,Cordia alliodora (Ruiz & Pav.) Oken,USDA_Plants
CALYCA,CACA73,Calycophyllum candidissimum (Vahl) DC.,USDA_Plants
FICUIN,kew-2810868,Ficus insipida Willd.,ThePlantList
ALBIED,ild-32326,Albizia guachapele (Kunth) Dugand,ThePlantList
ANTITR,kew-156694,Pittoniotis trichantha Griseb.,ThePlantList
PSE1SE,kew-2412504,Pseudobombax septenatum (Jacq.) Dugand,ThePlantList
CECRPE,CESC9,Cecropia schreberiana Miq.,USDA_Plants
TERMAM,kew-2431494,Terminalia amazonia (J.F.Gmel.) Exell,ThePlantList
TOCOPI,kew-206933,Tocoyena pittieri (Standl.) Standl.,ThePlantList
CARAGU,CAGU6,Carapa guianensis Aubl.,usda_Plants
TACHVE,ild-10610,Tachigali versicolor Standl. & L.O.Williams,ThePlantList
VOCHFE,kew-2461164,Vochysia ferruginea Mart.,ThePlantList
VIROSP,kew-2452051,Virola multiflora (Standl.) A.C.Sm.,ThePlantList
MICOBO,tro-20302782,Miconia borealis Gleason,ThePlantList
APEIME,kew-2643251,Apeiba membranacea Spruce ex Benth.,ThePlantList
GUATDU,kew-2834344,Guatteria dumetorum R.E.Fr.,ThePlantList
CECRIN,kew-2707049,Cecropia insignis Liebm.,ThePlantList
INGAPE,ild-12189,Inga pezizifera Benth.,ThePlantList
SIMAM,kew-2580434,Simarouba amara Aubl.,ThePlantList
ALSEBL,kew-6968,Alseis blackiana Hemsl.,ThePlantList
GUSTSU,kew-314-067,Gustavia superba (Kunth) O.Berg,ThePlantList
MICOAR,tro-20302666,Miconia argentea (Sw.) DC.,ThePlantList
CAL1,tro-3700004,Callichlamys latifolia (Rich.) K. Schum.,ThePlantList
AST2GR,kew-2664129,Astronium graveolens Jacq.,ThePlantList
POSOLA,kew-163583,Posoqueria latifolia (Rudge) Schult.,ThePlantList
CAPI,CAIN5,Capparis indica (L.) Druce,USDA_Plants
PPRE,PIRE10,Piper reticulatum L.,USDA_Plants
PIT1RU,ild-17602,Cojoba rufescens (Benth.) Britton & Rose,ThePlantList
CUPACI,kew-2747501,Cupania cinerea Poepp.,ThePlantList
ALBIAD,ALBIZ,Albizia Durazz.,USDA_Plants
