speciesdatacode,speciescode,scientific_name,Database_ID
Calicarpa bodinieri,kew-30688,Callicarpa bodinieri H.Lév.,ThePlantList
Cornus alba 'Elegantissima',COSES,Cornus alba L.,USDA_Plants
Rhododendron calophytum,tro-50060048,Rhododendron calophytum Franch.,ThePlantList
Schefflera arboricola 'Gold Capella',SCAR10,Schefflera arboricola (Hayata) Merr.,USDA_Plants
Acer negundo 'Variegatum',ACNE2,Acer negundo L.,USDA_Plants
Acer pseudoplatanus L.,ACPS,Acer pseudoplatanus L.,USDA_Plants
Alnus glutinosa L.,ALGL2,Alnus glutinosa (L.) Gaertn.,USDA_Plants
Castanea sativa,CASA27,Castanea sativa Mill.,USDA_Plants
Cercis siliquastrum,CESI9,Cercis siliquastrum L.,USDA_Plants
Corylus maxima 'Purpurea',COMA18,Corylus maxima Mill.,USDA_Plants
Cotinus coggygria,COCO10,Cotinus coggygria Scop.,USDA_Plants
Eucalyptus gunnii,EUGU5,Eucalyptus gunnii Hook. f.,USDA_Plants
Euonymus fortunei 'Emerald'n' Gold',EUFO5,Euonymus fortunei (Turcz.) Hand.-Maz.,USDA_Plants
Euonymus fortunei 'Ovatus Aureus',EUFO5,Euonymus fortunei (Turcz.) Hand.-Maz.,USDA_Plants
Euonymus fortunei 'Silver Queen',EUFO5,Euonymus fortunei (Turcz.) Hand.-Maz.,USDA_Plants
Euonymus fortunei Hand.-Mazz,EUFO5,Euonymus fortunei (Turcz.) Hand.-Maz.,USDA_Plants
Geranium,GERAN,Geranium L.,USDA_Plants
Hedera helix 'Dentata Variegata',HEHE,Hedera helix L.,USDA_Plants
Hydrangea macrophylla cv,HYMA7,Hydrangea macrophylla (Thunb.) Ser.,USDA_Plants
Ilex aquifolium 'Golden Milkboy',ILAQ80,Ilex aquifolium L.,USDA_Plants
Juglans regia  L.,JURE80,Juglans regia L.,USDA_Plants
Ligustrum vulgare,LIVU,Ligustrum vulgare L.,USDA_Plants
Liquidambar styraciflua L.,LIST2,Liquidambar styraciflua L.,USDA_Plants
Liriodendron tulipifera L.,LITU,Liriodendron tulipifera L.,USDA_Plants
Osmanthus heterophyllus,OSHE,Osmanthus heterophyllus (G. Don) P.S. Green,USDA_Plants
Parthenocissus tricuspidata,PATR6,Parthenocissus tricuspidata (Siebold & Zucc.) Planch.,USDA_Plants
Populus alba L.,POAL7,Populus alba L.,USDA_Plants
Prunus laurocerasus 'Otto Luyken',PRLA5,Prunus laurocerasus L.,USDA_Plants
Prunus laurocerasus L.,PRLA5,Prunus laurocerasus L.,USDA_Plants
Prunus lusitanica L.,PRLU,Prunus lusitanica L.,USDA_Plants
Quercus ilex L.,QUIL2,Quercus ilex L.,USDA_Plants
Quercus palustris,QUPA2,Quercus palustris Münchh.,USDA_Plants
Rhus typhina L.,RHTY,Rhus typhina L.,USDA_Plants
Robinia pseudoacacia 'Frisia',ROPS,Robinia pseudoacacia L.,USDA_Plants
Robinia pseudoacacia L.,ROPS,Robinia pseudoacacia L.,USDA_Plants
Salix atrocinerea,SAAT2,Salix atrocinerea Brot.,USDA_Plants
Syringa vulgaris L.,SYVU,Syringa vulgaris L.,USDA_Plants
Tilia tomentosa,TITO,Tilia tomentosa Moench,USDA_Plants
Viburnum plicatum 'Lanarth',VIPL,Viburnum plicatum Thunb.,USDA_Plants
Viburnum rhytidophyllum,VIRH,Viburnum rhytidophyllum Hemsl.,USDA_Plants
Viburnum tinus L.,VITI2,Viburnum tinus L.,USDA_Plants
Vitis vinifera L,VIVI5,Vitis vinifera L.,USDA_Plants
Vitis vinifera L. ssp. Sylvestris,VIVI5,Vitis vinifera L. ssp. Sylvestris,USDA_Plants
Weigela florida 'Foliis Purpureis',WEFL2,Weigela florida (Bunge) A. DC.,USDA_Plants
