Family,Science Name,speciescode,codetype,scientificname,genus,species
Rubiaceae,Coussarea paniculata (Vahl) Standl.,kew-48511,ThePlantList,Coussarea paniculata (Vahl) Standl.,Coussarea,paniculata
Vochysiaceae,Erisma uncinatum Warm.,kew-2797636,ThePlantList,Erisma uncinatum Warm.,Erisma,uncinatum
Leguminosae-Caesalp.,Chamaecrista scleroxylon (Ducke) H.S.Irwin & Barneby,ild-24491,ThePlantList,Chamaecrista scleroxylon (Ducke) H.S.Irwin & Barneby,Chamaecrista,scleroxylon
Leguminosae-Caesalp.,Tachigali eriopetala (Ducke) L.G.Silva & H.C.Lima,tro-50312870,ThePlantList,Tachigali eriopetala (Ducke) L.F. Gomes da Silva & H.C. Lima,Tachigali,eriopetala
Humiriaceae,Endopleura uchi (Huber) Cuatrec.,kew-2789089,ThePlantList,Endopleura uchi (Huber) Cuatrec.,Endopleura,uchi
Melastomataceae,Miconia-sp.,MICON,USDAPlants,Miconia spp.,Miconia,NA
Myrtaceae,Eugenia patrisii Vahl,kew-76314,ThePlantList,Eugenia patrisii Vahl,Eugenia,patrisii
Sapotaceae,Manilkara huberi (Ducke) A.Chev.,kew-120173,ThePlantList,Manilkara huberi (Ducke) Standl.,Manilkara,huberi
Lecythidaceae,Lecythis lurida (Miers) S.A. Mori,kew-313088,ThePlantList,Lecythis lurida (Miers) S.A.Mori,Lecythis,lurida
Lauraceae,Ocotea sp.,OCOTE,USDAPlants,Ocotea spp.,Ocotea,NA
Leguminosae-Caesalp.,Tachigali sp.,TACHIGALI,Other,Tachigali sp.,Tachigali,NA
Vochysiaceae,Vochysia maxima,tro-34100091,ThePlantList,Vochysia maxima Ducke,Vochysia,maxima
Anacardiaceae,Astronium lecointei,kew-2664136,ThePlantList,Astronium lecointei Ducke,Astronium,lecointei
Lecythidaceae,Couratari stellata,kew-313697,ThePlantList,Couratari stellata A.C.Sm.,Couratari,stellata
Burseraceae,Protium tenuifolium,kew-2414336,ThePlantList,Protium tenuifolium (Engl.) Engl.,Protium,tenuifolium
Sapotaceae,Pouteria torta,kew-164499,ThePlantList,Pouteria torta (Mart.) Radlk.,Pouteria,torta
